sample,horizon_weeks,phase,industry,observations,sufficient,mean,median,sd,p10,p90,share_positive
revised_overlap,13,slowdown,Manuf,349,True,-0.001204,-0.003853,0.044743,-0.046596,0.040219,0.4613
revised_overlap,13,slowdown,Enrgy,349,True,-0.003598,-0.027968,0.111777,-0.120013,0.138414,0.3954
revised_overlap,13,slowdown,Chems,349,True,-0.018848,-0.017377,0.055218,-0.088782,0.049922,0.3438
revised_overlap,13,slowdown,BusEq,349,True,0.019796,0.017243,0.040946,-0.032252,0.068875,0.6877
revised_overlap,13,slowdown,Telcm,349,True,-0.020709,-0.01425,0.058106,-0.096126,0.04363,0.3639
revised_overlap,13,slowdown,Utils,349,True,-0.003789,-0.006254,0.06772,-0.081112,0.084982,0.447
revised_overlap,13,slowdown,Shops,349,True,0.001244,0.00096,0.033971,-0.043901,0.04449,0.5072
revised_overlap,13,slowdown,Hlth,349,True,-0.015591,-0.010108,0.053953,-0.083665,0.044353,0.4155
revised_overlap,13,slowdown,Money,349,True,-0.006783,-0.005156,0.037948,-0.053361,0.037587,0.4413
revised_overlap,13,slowdown,Other,349,True,-0.009765,-0.008335,0.028278,-0.042846,0.02386,0.384
revised_overlap,13,contraction,NoDur,28,True,-0.03727,-0.023901,0.05145,-0.107504,0.011747,0.25
revised_overlap,13,contraction,Durbl,28,True,0.226414,0.255632,0.237787,-0.042994,0.505293,0.7143
revised_overlap,13,contraction,Manuf,28,True,-0.044144,-0.054869,0.065965,-0.119871,0.032673,0.25
revised_overlap,13,contraction,Enrgy,28,True,-0.177026,-0.201084,0.123242,-0.297044,-0.040426,0.0714
revised_overlap,13,contraction,Chems,28,True,-0.000329,0.007709,0.038548,-0.053421,0.044221,0.6071
revised_overlap,13,contraction,BusEq,28,True,0.058226,0.057856,0.025154,0.028046,0.09119,1.0
revised_overlap,13,contraction,Telcm,28,True,-0.040569,-0.028196,0.049713,-0.113286,0.010166,0.2143
revised_overlap,13,contraction,Utils,28,True,-0.07139,-0.081643,0.081139,-0.162084,0.036737,0.25
revised_overlap,13,contraction,Shops,28,True,0.065758,0.062638,0.035036,0.028367,0.110306,1.0
revised_overlap,13,contraction,Hlth,28,True,-0.000163,-0.028474,0.091704,-0.102413,0.118724,0.4643
revised_overlap,13,contraction,Money,28,True,-0.087863,-0.085837,0.034163,-0.13307,-0.051716,0.0
revised_overlap,13,contraction,Other,28,True,-0.013423,-0.021346,0.048858,-0.072107,0.060669,0.3929
revised_overlap,26,recovery,NoDur,38,True,-0.054915,-0.058002,0.032936,-0.093416,-0.012728,0.0
revised_overlap,26,recovery,Durbl,38,True,0.232627,0.240426,0.406293,-0.209488,0.927008,0.5526
revised_overlap,26,recovery,Manuf,38,True,0.062014,0.062416,0.051183,0.004484,0.122626,0.8947
revised_overlap,26,recovery,Enrgy,38,True,0.197294,0.227795,0.248804,-0.094425,0.50861,0.6842
revised_overlap,26,recovery,Chems,38,True,-0.073509,-0.079902,0.038857,-0.124586,-0.025177,0.0263
revised_overlap,26,recovery,BusEq,38,True,0.00523,-0.003291,0.0425,-0.038522,0.054847,0.4737
revised_overlap,26,recovery,Telcm,38,True,-0.05577,-0.05406,0.038956,-0.108326,-0.005783,0.0789
revised_overlap,26,recovery,Utils,38,True,-0.092175,-0.111169,0.063095,-0.161276,-0.004727,0.1053
revised_overlap,26,recovery,Shops,38,True,-0.061428,-0.060366,0.047932,-0.121497,0.002602,0.1579
revised_overlap,26,recovery,Hlth,38,True,-0.064026,-0.059,0.032175,-0.102265,-0.021691,0.0526
revised_overlap,26,recovery,Money,38,True,0.094809,0.097167,0.074888,0.005156,0.179556,0.8947
revised_overlap,26,recovery,Other,38,True,0.0312,0.046125,0.043633,-0.043517,0.073688,0.8158
revised_overlap,26,expansion,NoDur,250,True,-0.021757,-0.010636,0.07861,-0.113743,0.064411,0.412
revised_overlap,26,expansion,Durbl,250,True,-0.023928,-0.024053,0.143801,-0.179123,0.128954,0.368
revised_overlap,26,expansion,Manuf,250,True,0.001155,-0.010075,0.062617,-0.068521,0.063633,0.484
revised_overlap,26,expansion,Enrgy,250,True,-0.004583,-0.065257,0.217962,-0.197844,0.309701,0.348
revised_overlap,26,expansion,Chems,250,True,-0.02144,-0.012409,0.060804,-0.10165,0.048914,0.336
revised_overlap,26,expansion,BusEq,250,True,0.028961,0.026781,0.050019,-0.039749,0.0891,0.752
revised_overlap,26,expansion,Telcm,250,True,-0.03788,-0.031871,0.077672,-0.143301,0.055844,0.332
revised_overlap,26,expansion,Utils,250,True,-0.001591,-0.010257,0.093272,-0.116761,0.115352,0.456
